2009:01:16 20:36:42   -017,75074   000223,63151   054,42347*
2009:01:16 20:36:42   -017,73823   000373,54526   054,42347*
2009:01:16 20:36:42   -017,67177   000556,47797   054,42347*
2009:01:16 20:36:43   -017,65794   000920,29670   054,42347
2009:01:16 20:36:43   -017,56496   001306,70488   070,55841
2009:01:16 20:36:43   -017,50547   001413,89503   071,79073
2009:01:16 20:36:43   -017,45388   001779,19846   071,90734
2009:01:16 20:36:44   -017,43048   001919,54456   071,90734*
2009:01:16 20:36:44   -017,42905   002334,06191   071,90734*
2009:01:16 20:36:44   -017,32685   002925,80395   071,90734*
2009:01:16 20:36:44   -017,26963   003926,21406   071,90734*
2009:01:16 20:36:45   -017,25793   004255,28909   071,90734*
2009:01:16 20:36:45   -016,92694   004376,27293   071,90734*
2009:01:16 20:36:45   -016,91994   004423,59014   071,90734*
2009:01:16 20:36:45   -016,90613   004572,07831   071,90734*
2009:01:16 20:36:46   -016,85007   004652,12826   071,90734*
2009:01:16 20:36:46   -016,74306   004720,97350   071,90734*
2009:01:16 20:36:46   -016,72036   004803,90704   071,90734*
2009:01:16 20:36:46   -016,59831   004811,32096   071,90734*
2009:01:16 20:36:47   -016,29128   004949,62945   071,90734*
2009:01:16 20:36:47   -016,09345   005180,14514   071,90734*
2009:01:16 20:36:47   -015,83657   005284,67695   071,90734*
2009:01:16 20:36:48   -015,74205   005484,96229   071,90734*
2009:01:16 20:36:48   -015,72525   006327,79132   071,90734*
2009:01:16 20:36:48   -015,66602   006676,00361   071,90734*
2009:01:16 20:36:48   -015,57380   006825,40158   071,90734*
2009:01:16 20:36:49   -015,52822   007283,92688   071,90734*
2009:01:16 20:36:49   -015,22787   007337,80057   071,90734*
2009:01:16 20:36:49   -015,16743   007347,49057   071,90734*
2009:01:16 20:36:49   -014,98146   007358,99191   071,90734*
2009:01:16 20:36:50   -014,92179   007436,89122   071,90734*
2009:01:16 20:36:50   -014,87801   008101,99448   071,90734*
2009:01:16 20:36:50   -014,84435   008377,34170   071,90734*
2009:01:16 20:36:50   -014,73154   008631,26724   071,90734*
2009:01:16 20:36:51   -014,68522   008897,40972   071,90734*
2009:01:16 20:36:51   -014,34609   008921,68781   071,90734*
2009:01:16 20:36:51   -014,34052   009291,75112   071,90734*
2009:01:16 20:36:51   -014,23964   009883,88243   071,90734*
2009:01:16 20:36:52   -014,15618   010195,38774   071,90734*
2009:01:16 20:36:52   -014,10891   011137,40139   071,90734*
2009:01:16 20:36:52   -014,09622   011183,50650   071,90734*
2009:01:16 20:36:52   -013,92267   011995,68814   071,90734*
2009:01:16 20:36:53   -013,79190   012715,41749   071,90734*
2009:01:16 20:36:53   -013,78157   012898,25599   071,90734*
2009:01:16 20:36:53   -013,68213   013882,12614   071,90734*
2009:01:16 20:36:53   -013,58896   014316,64185   071,90734*
2009:01:16 20:36:54   -013,39645   014336,62860   071,90734*
2009:01:16 20:36:54   -013,27822   014398,53780   071,90734*
2009:01:16 20:36:54   -013,11471   014534,00475   071,90734*
2009:01:16 20:36:54   -012,75984   014693,65822   071,90734*
2009:01:16 20:36:55   -012,75632   014766,62300   071,90734*
2009:01:16 20:36:55   -012,69978   015308,25544   071,90734*
2009:01:16 20:36:55   -012,68362   015502,58574   071,90734*
2009:01:16 20:36:55   -012,62348   015737,86951   071,90734*
2009:01:16 20:36:56   -012,46087   015784,60602   071,90734*
2009:01:16 20:36:56   -012,37238   016063,37419   071,90734*
2009:01:16 20:36:56   -012,23227   016173,29671   071,90734*
2009:01:16 20:36:56   -012,13109   016382,91585   071,90734*
2009:01:16 20:36:57   -011,80854   016863,70871   071,90734*
2009:01:16 20:36:57   -011,65353   017268,18636   071,90734*
2009:01:16 20:36:57   -011,28879   018004,41751   071,90734*
2009:01:16 20:36:57   -011,17100   018060,19459   071,90734*
2009:01:16 20:36:58   -011,15670   018289,72185   071,90734*
2009:01:16 20:36:58   -011,12129   018959,06933   071,90734*
2009:01:16 20:36:58   -010,78904   019375,43794   071,90734*
2009:01:16 20:36:58   -010,78548   020925,32909   071,90734*
2009:01:16 20:36:59   -010,78433   021342,91830   071,90734*
2009:01:16 20:36:59   -010,74461   021547,89989   071,90734*
2009:01:16 20:36:59   -010,59299   022179,97627   071,90734*
2009:01:16 20:36:59   -010,47517   022307,94063   071,90734*
2009:01:16 20:37:00   -010,34068   022722,20126   071,90734*
2009:01:16 20:37:00   -010,27682   022855,65337   071,90734*
2009:01:16 20:37:00   -010,24821   023246,93944   071,90734*
2009:01:16 20:37:00   -010,24319   023281,88509   071,90734*
2009:01:16 20:37:01   -010,07468   023326,41316   071,90734*
2009:01:16 20:37:01   -010,07018   023466,91533   071,90734*
2009:01:16 20:37:01   -010,02429   023581,65000   071,90734*
2009:01:16 20:37:01   -009,99400   023681,63348   071,90734*
2009:01:16 20:37:02   -009,69587   023824,28949   071,90734*
2009:01:16 20:37:02   -009,69219   023975,68020   071,90734*
2009:01:16 20:37:02   -009,66179   024039,30784   071,90734*
2009:01:16 20:37:02   -009,63994   024245,14536   071,90734*
2009:01:16 20:37:03   -009,52843   024983,94606   071,90734*
2009:01:16 20:37:03   -009,51182   026682,94454   071,90734*
2009:01:16 20:37:03   -009,31632   027208,06692   071,90734*
2009:01:16 20:37:03   -009,18619   027248,42828   071,90734*
2009:01:16 20:37:04   -009,04650   027509,50363   071,90734*
2009:01:16 20:37:04   -009,03386   027793,06084   071,90734*
2009:01:16 20:37:04   -008,66834   028210,97210   071,90734*
2009:01:16 20:37:04   -008,58181   028247,39014   071,90734*
2009:01:16 20:37:05   -008,54611   028357,94954   071,90734*
2009:01:16 20:37:05   -008,38619   028498,80747   071,90734*
2009:01:16 20:37:05   -008,25398   028649,06218   071,90734*
2009:01:16 20:37:05   -008,19827   029101,48973   071,90734*
2009:01:16 20:37:06   -007,53788   029282,71696   071,90734*
2009:01:16 20:37:06   -007,51670   029367,70979   071,90734*
2009:01:16 20:37:06   -007,37105   029820,54278   071,90734*
2009:01:16 20:37:06   -007,27535   030011,29561   071,90734*
2009:01:16 20:37:07   -007,06115   030167,74723   071,90734*
2009:01:16 20:37:07   -006,82052   030307,84407   071,90734*
